source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.14736544433175056,0.18334707763396685,0.9784380010950109,1.0,41,0.4007265491538172,0.5536468128791869,0.7784725546444395,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,8,163,0.1471008337126434,0.18440102690357638,0.9781893953356701,1.0,41,0.40216095944585906,0.5538354921185425,0.7783215386859114,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.13564286386603974,0.1645253648809168,0.9826377198047712,1.0,41,0.40581368689018144,0.554250043196848,0.777989557657665,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso,4,163,0.13837676471494917,0.1713986256048777,0.9811567545334506,1.0,41,0.4118808893178365,0.5543062114613025,0.7779445578484686,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.1429267295307508,0.176733187292964,0.979965557814076,1.0,41,0.40603837208815974,0.5544241386146108,0.7778500644036274,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__SVR_RBF,8,163,0.12591294661531777,0.1540137505840747,0.9847854178509441,1.0,41,0.398584993972704,0.5544698877534966,0.7778134008211326,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso,6,163,0.1237866609543913,0.15231468682265809,0.9851192575867754,1.0,41,0.3973162148977256,0.5545928191107672,0.7777148680471659,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.11703619538530162,0.14110833949651588,0.9872283679524595,1.0,41,0.3995906586049126,0.5550491489432753,0.7773489164335599,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.13756340692232324,0.17056744306093705,0.9813390687203278,1.0,41,0.3968412462592867,0.5551921712388961,0.7772341584094635,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.15977800478891926,0.199714478961297,0.9744164894011245,0.9938650306748467,41,0.4098446530390055,0.5554024177944669,0.7770654074022615,0.7073170731707317
